VTD,PrecinctName,HD,tot14,stw14,sth14,votes_area
270010180,Spalding Twp,10B,62,0.551662,0.475410,0.000162
270010185,Spencer Twp,10B,271,0.509424,0.481343,0.000698
270010190,Tamarack,10B,22,0.573333,0.666667,0.000610
270010195,Turner Twp,10B,92,0.547377,0.546512,0.000250
270010200,Verdon Twp,10B,26,0.433231,0.538462,0.000069
270010205,Wagner Twp,10B,160,0.483850,0.477987,0.000432
270010210,Waukenabo Twp,10B,160,0.526418,0.512500,0.000430
270010215,Wealthwood Twp,10B,173,0.601861,0.532164,0.000232
270010220,White Pine Twp,10B,19,0.540000,0.578947,0.000051
270010225,Williams Twp,10B,54,0.487595,0.403846,0.000146
270010230,Workman Twp,10B,88,0.553130,0.482759,0.000239
270010240,Northeast Aitkin Unorg,10B,24,0.269360,0.333333,0.000021
270010255,Unorg 48-27 (Blind Lake Unorg),10B,14,0.697319,0.642857,0.000059
270010260,Northwest Aitkin Unorg P-2,10B,63,0.678047,0.523810,0.000040
270010285,Unorg 51-27 (Lemay Unorg),10B,27,0.511700,0.666667,0.000122
270010290,Northwest Aitkin Unorg P-1,10B,38,0.554435,0.540541,0.000065
270030005,Andover P-1,35B,1341,0.386010,0.300459,0.019219
270030010,Andover P-2,35B,1263,0.407265,0.316343,0.033523
270030015,Andover P-3,35B,1448,0.425538,0.340381,0.101473
270030020,Andover P-4,35B,1064,0.454631,0.372474,0.056163
270030025,Andover P-5,35B,1419,0.395591,0.300649,0.030183
270030030,Andover P-6,31B,1072,0.387678,0.338787,0.011780
270030035,Andover P-7,35B,899,0.394085,0.301370,0.064868
270030040,Andover P-8,35B,1111,0.397205,0.302218,0.036074
270030045,Andover P-9,35B,1150,0.381392,0.277333,0.057684
270030050,Andover P-10,35B,1285,0.441321,0.353834,0.081058
270030105,Anoka P-1,35A,522,0.552334,0.476861,0.089971
270030110,Anoka P-2,35A,737,0.514484,0.447514,0.092007
270030115,Anoka P-3,35A,720,0.478203,0.390071,0.040525
270030120,Anoka P-4,35A,763,0.578270,0.503338,0.129289
270030125,Anoka P-5,35A,646,0.539888,0.471338,0.166649
270030130,Anoka P-6,35A,648,0.590717,0.526656,0.031634
270030135,Anoka P-7,35A,684,0.486043,0.428786,0.110592
270030140,Anoka P-8,35A,735,0.483286,0.401107,0.138392
270030205,Bethel P-1,31A,143,0.390280,0.000000,0.013340
270030305,Blaine W-1 P-1,37A,815,0.606788,0.567636,0.140145
270030310,Blaine W-1 P-2,37A,871,0.570149,0.535211,0.112011
270030315,Blaine W-1 P-3,37A,703,0.567849,0.509601,0.064871
270030320,Blaine W-1 P-4,37A,532,0.565154,0.541426,0.058258
270030325,Blaine W-1 P-5,37B,1027,0.475833,0.446322,0.021231
270030330,Blaine W-1 P-6,37B,646,0.448340,0.415186,0.019482
270030335,Blaine W-1 P-7,38A,635,0.499228,0.402936,0.048351
270030340,Blaine W-1 P-8,38A,774,0.526482,0.409880,0.074414
270030405,Blaine W-2 P-1,37A,770,0.587330,0.549598,0.165331
270030410,Blaine W-2 P-2A,37A,661,0.520536,0.464899,0.117626
270030415,Blaine W-2 P-2B,37B,780,0.550778,0.513798,0.104306
270030420,Blaine W-2 P-3,37B,755,0.597956,0.556005,0.097164
270030425,Blaine W-2 P-4A,37B,854,0.499820,0.465228,0.101795
270030430,Blaine W-2 P-4B,37B,881,0.439378,0.401630,0.068375
270030435,Blaine W-2 P-5,37B,733,0.400314,0.347222,0.127322
270030440,Blaine W-2 P-6,37B,1362,0.373845,0.329341,0.035479
270030505,Blaine W-3 P-1,37B,794,0.575250,0.527958,0.090108
270030510,Blaine W-3 P-2,37B,891,0.539167,0.506315,0.113718
270030515,Blaine W-3 P-3,37B,768,0.498824,0.476698,0.097276
270030520,Blaine W-3 P-4,37B,1051,0.491355,0.450442,0.080015
270030525,Blaine W-3 P-5,37B,815,0.506948,0.473552,0.098224
270030530,Blaine W-3 P-6,37B,1367,0.462631,0.413076,0.045761
270030535,Blaine W-3 P-7,37B,1313,0.497021,0.452991,0.103572
270030540,Blaine W-3 P-8,38A,380,0.435929,0.363388,0.012407
270030605,Centerville P-1,38A,1499,0.455258,0.378416,0.059919
270030705,Circle Pines P-1,38A,714,0.532859,0.422190,0.133757
270030710,Circle Pines P-2,38A,1398,0.540216,0.452555,0.095370
270030805,Columbia Heights P-1,41B,963,0.724620,0.765481,0.179329
270030810,Columbia Heights P-2,41B,784,0.708190,0.763033,0.175600
270030815,Columbia Heights P-3,41B,796,0.732195,0.752941,0.225544
270030820,Columbia Heights P-4,41B,723,0.668007,0.704508,0.164936
270030825,Columbia Heights P-5,41B,876,0.663640,0.716480,0.173601
270030830,Columbia Heights P-6,41B,810,0.611144,0.676692,0.143523
270030835,Columbia Heights P-7,41B,792,0.677139,0.716069,0.175497
270030840,Columbia Heights P-8,41B,729,0.685819,0.713799,0.234597
270030905,Columbus P-1,31B,1805,0.443301,0.386912,0.003676
270031005,Coon Rapids W-1 P-1,35B,1572,0.479308,0.404436,0.090482
270031010,Coon Rapids W-1 P-2,35B,1395,0.441516,0.365907,0.132698
270031015,Coon Rapids W-1 P-3,36A,1092,0.475930,0.424157,0.073374
270031020,Coon Rapids W-1 P-4,36A,642,0.493534,0.462145,0.052589
270031105,Coon Rapids W-2 P-1,35B,1118,0.493737,0.416745,0.115919
270031110,Coon Rapids W-2 P-2,37A,732,0.465391,0.473029,0.041211
270031115,Coon Rapids W-2 P-3,37A,1237,0.498074,0.514803,0.154675
270031120,Coon Rapids W-2 P-4,37A,737,0.525105,0.493113,0.148775
270031125,Coon Rapids W-2 P-5,36A,789,0.564096,0.541885,0.072198
270031205,Coon Rapids W-3 P-1,36B,925,0.529561,0.520925,0.126158
270031210,Coon Rapids W-3 P-2,36B,911,0.536769,0.525901,0.082941
270031215,Coon Rapids W-3 P-3,36B,925,0.550891,0.541002,0.063452
270031220,Coon Rapids W-3 P-4,37A,800,0.576086,0.539153,0.069107
270031305,Coon Rapids W-4 P-1,36A,963,0.528419,0.486111,0.155530
270031310,Coon Rapids W-4 P-2,36A,977,0.519771,0.452202,0.133608
270031315,Coon Rapids W-4 P-3,36A,910,0.553129,0.498876,0.077678
270031320,Coon Rapids W-4 P-4,36B,1413,0.537377,0.534632,0.094189
270031405,Coon Rapids W-5 P-1,37A,996,0.559721,0.542304,0.116153
270031410,Coon Rapids W-5 P-2,37A,1096,0.542417,0.546468,0.111626
270031415,Coon Rapids W-5 P-3,37A,606,0.555022,0.534570,0.095296
270031420,Coon Rapids W-5 P-4,37A,416,0.549426,0.535627,0.027545
270031425,Coon Rapids W-5 P-5,37A,945,0.559349,0.518478,0.102192
270031505,East Bethel P-1,31B,1283,0.408694,0.359300,0.006358
270031510,East Bethel P-2,31B,1375,0.439971,0.400888,0.011839
270031515,East Bethel P-3,31B,1280,0.410578,0.352894,0.007373
270031605,Fridley W-1 P-1,41A,815,0.617925,0.627182,0.077728
270031610,Fridley W-1 P-2,41A,823,0.590387,0.583851,0.142398
270031615,Fridley W-1 P-3,41A,753,0.659999,0.642663,0.146505
270031620,Fridley W-1 P-4,41A,672,0.645727,0.641654,0.087837
270031705,Fridley W-2 P-1,41A,594,0.612747,0.611399,0.065256
270031710,Fridley W-2 P-2,41A,521,0.655376,0.658777,0.093115
270031715,Fridley W-2 P-3,41A,971,0.592355,0.622385,0.108745
270031720,Fridley W-2 P-4,41A,929,0.627116,0.622370,0.154430
270031805,Fridley W-3 P-1,41A,682,0.617335,0.617960,0.052968
270031810,Fridley W-3 P-2,41A,1037,0.591561,0.606654,0.082114
270031815,Fridley W-3 P-3,41A,433,0.656681,0.644391,0.062957
270031820,Fridley W-3 P-4,41A,564,0.654046,0.632768,0.026724
270031905,Ham Lake P-1,31B,792,0.414433,0.363636,0.013359
270031910,Ham Lake P-2,31B,1306,0.396295,0.342271,0.023284
270031915,Ham Lake P-3A,31B,1102,0.374176,0.332400,0.017376
270031920,Ham Lake P-4A,31B,1026,0.366880,0.322613,0.010377
270031925,Ham Lake P-5,31B,885,0.356976,0.306977,0.029350
270031930,Ham Lake P-6A,31B,997,0.372940,0.318750,0.016172
270032005,Hilltop P-1,41B,148,0.776090,0.800000,0.112726
270032105,Lexington P-1,38A,609,0.576105,0.472696,0.085888
270032205,Lino Lakes P-1,38A,795,0.468077,0.384021,0.007435
270032210,Lino Lakes P-2,38A,1159,0.474420,0.388541,0.032019
270032215,Lino Lakes P-3,38A,970,0.498568,0.410011,0.070718
270032220,Lino Lakes P-4,38A,1497,0.407966,0.315534,0.017576
270032225,Lino Lakes P-5,38A,836,0.444180,0.360736,0.056839
270032230,Lino Lakes P-6,38A,1172,0.367864,0.297891,0.018820
270032235,Lino Lakes P-7,38A,1425,0.427343,0.326277,0.061653
270032305,Linwood Twp P-1,31B,2026,0.433251,0.378310,0.005443
270032405,Nowthen P-1A,31A,1142,0.353860,0.000000,0.005079
270032410,Nowthen P-2A,31A,677,0.350733,0.000000,0.004913
270032505,Oak Grove P-1,31A,946,0.401161,0.000000,0.013128
270032510,Oak Grove P-2,31A,895,0.351086,0.000000,0.011486
270032515,Oak Grove P-3,31A,897,0.359742,0.000000,0.008028
270032520,Oak Grove P-4,31B,556,0.407879,0.324723,0.005494
270032605,Ramsey W-1 P-1,35A,1669,0.428745,0.353591,0.035209
270032610,Ramsey W-1 P-2,35B,533,0.441382,0.357282,0.019626
270032705,Ramsey W-2 P-1,35A,964,0.362821,0.307364,0.021305
270032710,Ramsey W-2 P-2,35A,1459,0.430790,0.345021,0.018182
270032805,Ramsey W-3 P-1,35A,1228,0.441652,0.389958,0.023047
270032810,Ramsey W-3 P-2,35A,566,0.449743,0.384755,0.022705
270032905,Ramsey W-4 P-1,35A,956,0.472011,0.406015,0.069827
270032910,Ramsey W-4 P-2,35A,1041,0.436320,0.362120,0.070131
270033005,Saint Francis P-1,31A,1173,0.409205,0.000000,0.007543
270033010,Saint Francis P-2,31A,887,0.387340,0.000000,0.010374
270033105,Spring Lake Park P-1A,37A,571,0.528595,0.480944,0.078700
270033110,Spring Lake Park P-2,41A,693,0.592769,0.589286,0.132589
270033115,Spring Lake Park P-3,37A,1030,0.597979,0.545994,0.121661
270050005,Atlanta Twp,2B,32,0.403328,0.419355,0.000086
270050010,Audubon,2B,159,0.397449,0.374194,0.027343
270050015,Audubon Twp,2B,236,0.448163,0.435345,0.000649
270050020,Burlington Twp,2B,567,0.419602,0.415027,0.001555
270050025,Callaway,2B,50,0.610307,0.600000,0.007676
270050030,Callaway Twp,2B,85,0.558034,0.548780,0.000232
270050035,Carsonville Twp,2B,110,0.486277,0.472727,0.000299
270050040,Cormorant Twp,4B,466,0.402003,0.533769,0.001246
270050045,Cuba Twp,2B,93,0.510952,0.489130,0.000254
270050050,Detroit Twp P-1,2B,477,0.442830,0.419492,0.002951
270050051,Detroit Twp P-2,4B,357,0.363360,0.481159,0.002847
270050052,Detroit Twp P-3,4B,0,0.000000,0.000000,0.000000
270050055,Detroit Lakes W-1 P-1,4B,776,0.474682,0.592348,0.013930
270050065,Detroit Lakes W-2 P-1,4B,1061,0.507377,0.655405,0.029167
270050075,Detroit Lakes W-3 P-1,4B,1256,0.426375,0.567152,0.018024
270050082,Eagle View Twp,2B,54,0.735821,0.698113,0.000144
270050085,Erie Twp,2B,717,0.418142,0.401130,0.001913
270050090,Evergreen Twp,2B,100,0.365822,0.310000,0.000266
270050095,Forest Twp,2B,78,0.484930,0.459459,0.000210
270050100,Frazee,2B,344,0.441109,0.404130,0.030525
270050105,Green Valley Twp,2B,135,0.421674,0.425197,0.000365
270050110,Hamden Twp,2B,79,0.467006,0.421053,0.000216
270050115,Height of Land Twp,2B,277,0.390794,0.354244,0.000377
270050120,Holmesville Twp,2B,271,0.392339,0.369811,0.000727
270050125,Lake Eunice Twp,4B,631,0.456896,0.571659,0.001696
270050130,Lake Park,2B,237,0.561936,0.517391,0.024088
270050135,Lake Park Twp,2B,184,0.395251,0.346154,0.000509
270050140,Lake View Twp,4B,764,0.419293,0.526525,0.002548
270050145,Maple Grove Twp,2B,135,0.600925,0.577778,0.000367
270050150,Ogema,2B,45,0.503059,0.418605,0.004536
270050155,Osage Twp,2B,333,0.416185,0.408537,0.000900
270050160,Pine Point Twp,2B,61,0.672279,0.689655,0.000164
270050165,Riceville Twp,2B,40,0.260972,0.256410,0.000103
270050170,Richwood Twp,2B,253,0.463288,0.460317,0.000682
270050175,Round Lake Twp,2B,71,0.560335,0.522388,0.000095
270050180,Runeberg Twp,2B,196,0.289025,0.285714,0.000532
270050185,Savannah Twp,2B,77,0.408998,0.386667,0.000207
270050190,Shell Lake Twp,2B,140,0.566451,0.533333,0.000378
270050195,Silver Leaf Twp,2B,169,0.447201,0.392857,0.000454
270050200,Spring Creek Twp,2B,36,0.424804,0.314286,0.000092
270050205,Spruce Grove Twp,2B,156,0.367465,0.383117,0.000427
270050210,Sugar Bush Twp,2B,172,0.604833,0.606061,0.000230
270050215,Toad Lake Twp,2B,235,0.328622,0.303030,0.000631
270050220,Two Inlets Twp,2B,132,0.331237,0.341085,0.000354
270050225,Walworth Twp,2B,32,0.639315,0.677419,0.000086
270050230,White Earth Twp,2B,105,0.560437,0.519231,0.000289
270050235,Wolf Lake,2B,29,0.191015,0.172414,0.009210
270050240,Wolf Lake Twp,2B,111,0.225216,0.261261,0.000301
270070005,Alaska Twp,2A,89,0.645842,0.602273,0.000242
270070010,Battle Twp,2A,11,0.558889,0.636364,0.000078
270070015,Bemidji Twp,5A,1074,0.497935,0.543977,0.004414
270070020,Bemidji W-1,5A,679,0.642433,0.676656,0.122105
270070025,Bemidji W-2,5A,729,0.566723,0.595804,0.016054
270070030,Bemidji W-3,5A,807,0.581714,0.613232,0.086041
270070035,Bemidji W-4,5A,929,0.562311,0.588827,0.014463
270070040,Bemidji W-5,5A,1153,0.599169,0.636687,0.028026
270070045,Benville Twp,2A,36,0.630228,0.558824,0.000102
270070050,Birch Twp,2A,57,0.416970,0.421053,0.000153
270070055,Blackduck,2A,190,0.436025,0.416216,0.011219
270070060,Buzzle Twp,2A,126,0.561001,0.524590,0.000338
270070065,Cormant Twp,2A,60,0.364115,0.322034,0.000160
270070070,Durand Twp,2A,73,0.501901,0.549296,0.000387
270070075,Eckles Twp,2A,504,0.493411,0.442656,0.001536
270070080,Frohn Twp,5A,683,0.491493,0.534226,0.001817
270070085,Funkley,2A,4,0.566667,0.250000,0.000559
270070090,Grant Valley Twp,2A,832,0.497093,0.474074,0.002245
270070095,Hagali Twp,2A,142,0.454243,0.428571,0.000378
270070100,Hamre Twp,2A,4,0.733333,0.750000,0.000011
270070105,Hines Twp,2A,263,0.397334,0.338462,0.000725
270070110,Hornet Twp,2A,76,0.460196,0.394737,0.000208
270070115,Jones Twp,2A,89,0.308897,0.275862,0.000241
270070120,Kelliher,2A,94,0.583976,0.528736,0.004028
270070125,Kelliher Twp,2A,49,0.502231,0.510204,0.000142
270070130,Lammers Twp,2A,223,0.399139,0.364055,0.000616
270070135,Langor Twp,2A,70,0.237039,0.246377,0.000188
270070140,Lee Twp,2A,17,0.411261,0.437500,0.000046
270070145,Liberty Twp,2A,301,0.473033,0.414141,0.000805
270070150,Maple Ridge Twp,2A,42,0.646341,0.589744,0.000112
270070155,Minnie Twp,2A,17,0.622857,0.411765,0.000047
270070160,Moose Lake Twp,5A,99,0.454386,0.489796,0.000266
270070165,Nebish Twp,2A,134,0.586995,0.578947,0.000362
270070170,Northern Twp P-1,5A,1804,0.458574,0.494869,0.005205
270070172,Northern Twp P-2,5A,28,0.265841,0.192308,0.029195
270070175,O'Brien Twp,2A,23,0.205658,0.190476,0.000061
270070180,Ponemah Prec,2A,257,0.956759,0.932806,0.000078
270070185,Port Hope Twp,2A,346,0.454328,0.441176,0.001033
270070190,Quiring Twp,2A,19,0.624428,0.421053,0.000076
270070195,Red Lake Agency Prec,2A,374,0.968420,0.942779,0.000575
270070200,Redby Prec,2A,296,0.974635,0.941781,0.000312
270070202,Little Rock Prec,2A,223,0.992934,0.981735,0.000053
270070205,Roosevelt Twp,2A,99,0.588156,0.555556,0.000266
270070210,Shooks Twp,2A,61,0.209433,0.210526,0.000163
270070215,Shotley Twp,2A,20,0.642105,0.578947,0.000041
270070220,Solway,2A,35,0.389148,0.400000,0.003291
270070225,Spruce Grove Twp,2A,29,0.620457,0.482759,0.000081
270070230,Steenerson Twp,2A,18,0.422059,0.388889,0.000049
270070235,Sugar Bush Twp,5A,94,0.515393,0.548387,0.000260
270070240,Summit Twp,2A,136,0.218694,0.162963,0.000376
270070245,Taylor Twp,2A,47,0.319271,0.319149,0.000133
270070250,Ten Lake Twp,5A,345,0.694592,0.711370,0.000930
270070255,Tenstrike,2A,69,0.453409,0.400000,0.001501
270070260,Turtle Lake Twp,2A,686,0.451667,0.416789,0.001839
270070265,Turtle River,2A,47,0.543262,0.521739,0.004169
270070270,Turtle River Twp,5A,610,0.523008,0.541315,0.001652
270070275,Unorg Dist 1,2A,12,0.716667,0.750000,0.000002
270070280,Unorg Dist 2,2A,12,0.579798,0.583333,0.000033
270070285,Unorg Dist 3,5A,68,0.600897,0.626866,0.000181
270070290,Waskish Twp,2A,51,0.492235,0.490196,0.000069
270070295,Wilton,2A,73,0.569194,0.507042,0.002674
270070300,Woodrow Twp,2A,29,0.533592,0.392857,0.000078
270090005,Alberta Twp,15B,338,0.499550,0.448161,0.000905
270090010,Foley,15B,855,0.463555,0.427509,0.033019
270090015,Gilman,15B,87,0.517928,0.525000,0.017379
270090020,Gilmanton Twp,15B,351,0.382588,0.339339,0.001015
270090025,Glendorado Twp,15B,335,0.338275,0.342679,0.000889
270090030,Graham Twp,15B,236,0.352343,0.325581,0.000624
270090035,Granite Ledge Twp,15B,293,0.369114,0.351254,0.000804
270090040,Langola Twp,15B,438,0.356757,0.348449,0.001040
270090045,Mayhew Lake Twp,15B,358,0.412424,0.393491,0.000940
270090050,Maywood Twp,15B,391,0.461232,0.451872,0.001064
270090055,Minden Twp P-1,14B,743,0.374236,0.282993,0.002130
270090056,Minden Twp P-2,13B,5,0.416667,0.000000,0.022398
270090060,Rice,15B,511,0.445424,0.429167,0.008088
270090067,Royalton,15B,0,0.000000,0.000000,0.000000
270090070,Saint Cloud W-2 P-1,14B,594,0.467787,0.433962,0.026394
270090080,Saint Cloud W-2 P-3,14B,627,0.603385,0.560458,0.101715
270090085,Saint Cloud W-2 P-4,14B,316,0.661493,0.601307,0.043950
270090090,Saint George Twp,15B,513,0.360450,0.327835,0.001356
270090095,Sartell P-2,13B,668,0.490175,0.000000,0.054617
270090100,Sauk Rapids P-1,13B,767,0.480121,0.000000,0.077263
270090105,Sauk Rapids P-2,13B,782,0.476615,0.000000,0.071090
270090110,Sauk Rapids P-3,13B,1097,0.451086,0.000000,0.122439
270090111,Sauk Rapids P-4,13B,692,0.484775,0.000000,0.074254
270090112,Sauk Rapids P-5,13B,837,0.443795,0.000000,0.032846
270090113,Sauk Rapids P-6,14B,0,0.000000,0.000000,0.000000
270090115,Sauk Rapids Twp,13B,244,0.442788,0.000000,0.003112
270090120,Watab Twp,15B,1214,0.446656,0.418012,0.005244
270110005,Akron Twp,12A,72,0.693572,0.652174,0.000131
270110010,Almond Twp,12A,50,0.675343,0.530612,0.000139
270110015,Artichoke Twp,12A,40,0.715134,0.589744,0.000109
270110020,Barry,12A,10,0.757857,0.300000,0.003857
270110025,Big Stone Twp,12A,148,0.461866,0.400000,0.000416
270110030,Browns Valley Twp,12A,74,0.663466,0.323944,0.000148
270110031,Beardsley,12A,77,0.666411,0.363636,0.015731
270110035,Clinton,12A,149,0.675012,0.500000,0.014019
270110040,Correll,12A,9,0.884524,0.666667,0.002287
270110045,Foster Twp,12A,73,0.602755,0.458333,0.000213
270110050,Graceville,12A,259,0.606672,0.439216,0.043732
270110055,Graceville Twp,12A,58,0.546829,0.275862,0.000160
270110056,Johnson,12A,9,0.531349,0.333333,0.001201
270110060,Malta Twp,12A,37,0.550202,0.416667,0.000096
270110065,Moonshine Twp,12A,46,0.479070,0.386364,0.000121
270110070,Odessa,12A,50,0.539419,0.428571,0.005026
270110075,Odessa Twp,12A,61,0.419691,0.280702,0.000164
270110080,Ortonville P-1,12A,483,0.472716,0.402954,0.029339
270110085,Ortonville P-2,12A,278,0.492613,0.391941,0.008514
270110086,Ortonville Twp,12A,42,0.374055,0.317073,0.000293
270110090,Otrey Twp,12A,32,0.692463,0.500000,0.000083
270110095,Prior Twp,12A,84,0.680623,0.555556,0.000170
270110100,Toqua Twp,12A,20,0.384737,0.200000,0.000055
270130005,Amboy,23B,151,0.444902,0.000000,0.048680
270130010,Beauford Twp,23B,151,0.408256,0.000000,0.000407
270130015,Butternut Valley Twp,23B,138,0.466458,0.000000,0.000372
270130020,Cambria Twp,23B,125,0.579052,0.000000,0.000617
270130025,Ceresco Twp,23B,65,0.382442,0.000000,0.000175
270130030,Danville Twp,23B,113,0.541259,0.000000,0.000304
270130035,Decoria Twp,23B,435,0.426134,0.000000,0.001178
270130040,Eagle Lake,19B,803,0.471616,0.433121,0.051685
270130045,Garden City Twp,23B,303,0.457893,0.000000,0.000846
270130050,Good Thunder,23B,238,0.563912,0.000000,0.037343
270130055,Jamestown Twp,23B,270,0.480257,0.000000,0.001569
270130060,Judson Twp,23B,250,0.509057,0.000000,0.000648
270130065,Lake Crystal,23B,859,0.593797,0.000000,0.048169
270130070,Le Ray Twp,23B,266,0.496017,0.000000,0.000739
270130075,Lime Twp,19A,389,0.402610,0.381579,0.002274
270130080,Lincoln Twp,23B,85,0.376523,0.000000,0.000230
270130085,Lyra Twp,23B,123,0.401971,0.000000,0.000338
270130090,McPherson Twp,23B,174,0.504293,0.000000,0.000480
270130095,Madison Lake,23B,401,0.571852,0.000000,0.029363
270130100,Mankato W-5 P-1,19A,358,0.619404,0.593567,0.042838
270130105,Mankato W-5 P-2,19A,100,0.612553,0.608247,0.031382
270130106,Mankato W-5 P-3,19B,573,0.614766,0.607460,0.161688
270130110,Mankato W-5 P-4,19B,316,0.700642,0.675325,0.061026
270130115,Mankato W-5 P-5,19B,272,0.642871,0.605364,0.116783
270130120,Mankato W-5 P-6,19B,534,0.523629,0.490982,0.143328
270130125,Mankato W-3 P-7,19B,394,0.610371,0.589189,0.153197
270130130,Mankato W-3 P-8,19B,781,0.499268,0.474376,0.086990
270130135,Mankato W-3 P-9,19B,662,0.613315,0.592025,0.050646
270130140,Mankato W-4 P-10,19B,719,0.737856,0.723099,0.149019
270130142,Mankato W-4 P-10A,19B,745,0.589549,0.573770,0.121614
270130145,Mankato W-1 P-11,19B,733,0.603861,0.557880,0.106550
270130150,Mankato W-1 P-12,19B,521,0.566746,0.554054,0.100398
270130155,Mankato W-4 P-13,19B,459,0.605365,0.566667,0.096724
270130160,Mankato W-1 P-14,19B,1223,0.582911,0.540050,0.106294
270130165,Mankato W-2 P-15,19B,1759,0.639131,0.614451,0.062530
270130170,Mankato W-2 P-16,19A,744,0.507761,0.497253,0.014846
270130175,Mankato W-2 P-17,19A,147,0.508603,0.510345,0.006772
270130195,Mankato Twp P-1,19A,99,0.378880,0.371134,0.002333
270130197,Mankato Twp P-2,19B,767,0.463287,0.433071,0.003355
270130200,Mapleton,23B,605,0.522151,0.000000,0.042462
270130205,Mapleton Twp,23B,116,0.360859,0.000000,0.000326
270130210,Medo Twp,23B,115,0.365815,0.000000,0.000312
270130212,Minnesota Lake,23A,3,0.133333,0.000000,0.003810
270130213,North Mankato,19A,1,0.000000,0.000000,0.036917
270130215,Pemberton,23B,73,0.463963,0.000000,0.037606
270130220,Pleasant Mound Twp,23B,96,0.350353,0.000000,0.000259
270130225,Rapidan Twp,23B,504,0.461912,0.000000,0.001372
270130230,Saint Clair,23B,307,0.567462,0.000000,0.044230
270130235,Shelby Twp,23B,116,0.430101,0.000000,0.000315
270130240,Skyline,19B,152,0.599530,0.591837,0.080261
270130245,South Bend Twp,23B,505,0.517318,0.000000,0.002934
270130250,Sterling Twp,23B,125,0.428902,0.000000,0.000337
270130255,Vernon Center,23B,123,0.477735,0.000000,0.025416
270130260,Vernon Center Twp,23B,115,0.488062,0.000000,0.000314
270150005,Albin Twp,16B,108,0.299938,0.196262,0.000295
270150010,Bashaw Twp,16B,95,0.403780,0.234043,0.000258
270150015,Burnstown Twp,16B,96,0.327564,0.229167,0.000267
270150020,Cobden,16B,10,0.821429,0.500000,0.000977
270150025,Comfrey,16B,123,0.569294,0.393443,0.029714
270150030,Cottonwood Twp,16B,357,0.420576,0.337143,0.000996
270150035,Eden Twp,16B,110,0.261456,0.185185,0.000258
270150040,Evan,16B,30,0.429203,0.275862,0.002819
270150045,Hanska,16B,138,0.655870,0.496350,0.055068
270150050,Home Twp,16B,227,0.259461,0.176991,0.000420
270150055,Lake Hanska Twp,16B,130,0.491473,0.379845,0.000326
270150060,Leavenworth Twp,16B,107,0.271930,0.196262,0.000294
270150065,Linden Twp,16B,111,0.488470,0.354545,0.000299
270150070,Milford Twp,16B,326,0.398635,0.257764,0.000816
270150075,Mulligan Twp,16B,77,0.451347,0.302632,0.000206
270150080,New Ulm W-1 P-1,16B,467,0.537126,0.459161,0.032320
270150085,New Ulm W-1 P-2,16B,684,0.544140,0.438066,0.128226
